answer,answerPrivate,nlpIndexAnswer,nlpIndexAnswerPrivate,nlpIndexQuestion,pubname,question,taxonomy-2,taxonomy-1
"<h3>Summary</h3>
<p>This article provides a detailed explananation of all of the possible ways to pay your Credit Card bill.</p>
<h3>Article</h3>
<p>Pluto Bank provide a number of methods of payment to clear the balance of your credit card. Some payment methods incur fees and others require Online Banking Registration.</p>
<p>The table below explains all of the available payment methods:</p>
<table>
<tbody>
<tr>
<td><strong>Ways to Pay</strong></td>
<td><strong>Fees</strong></td>
<td><strong>Payment Method</strong></td>
<td><strong>Registration Required</strong></td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Online My Account</a></td>
<td>None</td>
<td>Online</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com"">Home Banking</a></td>
<td>Determined by bank</td>
<td>Online</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com"">Home Banking - CheckFree</a></td>
<td>Determined by bank</td>
<td>Online</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com"">Direct Debit</a></td>
<td>None</td>
<td>Automatic ACH</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">Electronic Check*</a></td>
<td>$1.50</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">Debit/ATM Card*</a></td>
<td>$1.50</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">MasterCard*</a></td>
<td>$1.50</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">Visa*</a></td>
<td>$1.50</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay by Phone</a></td>
<td>None</td>
<td>Phone</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay by Text</a></td>
<td>None<sup>1</sup></td>
<td>Phone</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Mail a Payment</a></td>
<td>None</td>
<td>Mail</td>
<td>No</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay at one of our Payment Centers (Branch Offices)</a></td>
<td>None</td>
<td>In Person</td>
<td>No</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay at an Authorized Payment Location</a></td>
<td>None</td>
<td>In Person</td>
<td>No</td>
</tr>
<tr>
<td colspan=""4""><sup>1</sup>Standard text and usage fees may apply depending on service plan.</td>
</tr>
</tbody>
</table>",<p>-</p>,1,1,1,pay-credit-card-usa,How To Pay Your Credit Card Bill (USA),"region_canada, region_northamerica","product_creditbuilder, product_goldrewards, product_platinumcashback"
"<h3>Summary</h3>
<p>This article provides a detailed explananation of all of the possible ways to pay your Credit Card bill.</p>
<h3>Article</h3>
<p>Pluto Bank provide a number of methods of payment to clear the balance of your credit card. Some payment methods incur fees and others require Online Banking Registration.</p>
<p>The table below explains all of the available payment methods:</p>
<table>
<tbody>
<tr>
<td><strong>Ways to Pay</strong></td>
<td><strong>Fees</strong></td>
<td><strong>Payment Method</strong></td>
<td><strong>Registration Required</strong></td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Online My Account</a></td>
<td>None</td>
<td>Online</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com"">Home Banking</a></td>
<td>Determined by bank</td>
<td>Online</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com"">Home Banking - CheckFree</a></td>
<td>Determined by bank</td>
<td>Online</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com"">Direct Debit</a></td>
<td>None</td>
<td>Automatic ACH</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">Electronic Check*</a></td>
<td>1.00</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">Debit/ATM Card*</a></td>
<td>1.10</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">MasterCard*</a></td>
<td>1.00</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""The asterisk lets you know that if you follow this link, you will be visiting a third party site.  You will visit the Bill Matrix Web site."" href=""http://mywebsite.com"">Visa*</a></td>
<td>1.50</td>
<td>Online or Phone</td>
<td>No</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay by Phone</a></td>
<td>None</td>
<td>Phone</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay by Text</a></td>
<td>None</td>
<td>Phone</td>
<td>Yes</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Mail a Payment</a></td>
<td>None</td>
<td>Mail</td>
<td>No</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay at one of our Payment Centers (Branch Offices)</a></td>
<td>None</td>
<td>In Person</td>
<td>No</td>
</tr>
<tr>
<td><a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">Pay at an Authorized Payment Location</a></td>
<td>None</td>
<td>In Person</td>
<td>No</td>
</tr>
</tbody>
</table>
<p>*Standard text and usage fees may apply depending on service plan.</p>",<p>-</p>,1,1,1,pay-credit-card-uk,How To Pay Your Credit Card Bill (UK),region_unitedkingdom,"product_creditbuilder, product_goldrewards, product_platinumcashback"
"<p>See your statement. Look for the&#160;Payment Due Date</p>
<p>&#160;<img src=""mfxresource:library/Credit_bill.png"" alt=""Credit Bill""></p>","<p><span style=""font-size: 10pt;"">Always encourage customer to pay on or before the due date</span></p>",1,1,1,credit-card-bill-due,How do I know when my Credit Card bill is due?,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_goldrewards, product_platinumcashback, product_retailbanking"
"<div>The payments received on the card account will be apportioned in the following order</div>
<ul>
<li>Easy Monthly Installments</li>
<li>Fees &amp; Charges</li>
<li>Cash Advances</li>
<li>Purchases</li>
<li>Outstanding on Balance Transfers</li>
</ul>
<div>In the event a cardholder transfers different amounts under different balance transfer options, the repayment will be allocated to the Balance Transfers in decreasing order of the interest rates i.e. the repayment will be apportioned first to the highest interest Balance Transfer for the cardholder</div>
<div>&#160;</div>
<div>In case a cardholder has availed of two or more separate BTs of the same tenure, the repayment will be allocated in the same sequence that the balance transfers have been applied for.</div>
<div>&#160;</div>
<div>Any outstanding balance at the end of the balance transfer term, if applicable, cannot be transferred to another balance transfer option being offered by Pluto at that time.</div>
<div>&#160;</div>
<div>The entire balance outstanding on the credit card (including any balances transferred) will become payable immediately upon closure of the credit card whether such closure is initiated by the bank or by the cardholder.&#160;</div>",,1,1,1,balance-transfer-repayments,Customer Repayments during the Balance Transfer Term,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_goldrewards, product_platinumcashback"
"<h3>Summary</h3>
<p>This article outlines the key benefits of the Pluto Bank Blance Transfer credit card.</p>
<h3>Article</h3>
<p>With Perpetual Balance Transfer, you can benefit from a lower rate of interest, as compared to the ROI charged on your Credit Card outstanding till the entire transferred balance is paid off.</p>
<p>With the Pluto Balance Transfer Credit Card:</p>
<ul>
<li>Interest on the transferred balance will be charged at only ""x""% per month, i.e. ""y""% p.a and there is no pre-defined term of this facility.</li>
<li>You only have to make a minimum payment per month which is 5% of the outstanding amount transferred to your card from the other bank/s. You may however choose to pay more each month and close your Balance Transfer earlier, as per your convenience.</li>
<li>In addition to 5% of the transferred amount, you will also have to pay 5% of your Purchase outstanding on your credit card every month which forms part of the minimum payment payable every month.</li>
<li>No pre-payment charges</li>
</ul>
<h3>Things to Consider</h3>
<p>You will not be able to use the credit limit on your Pluto Bank Credit Card for the value of the loan until it is repaid in full or it is closed.</p>
<p>We wish to also inform you the Interest Free period on the card account is not valid for purchases that have Balance Transfer amounts in their credit card account. Also, for all subsequent purchases, cash advances and other outstanding balances, the applicable rate of interest shall be levied and applicable from the date of purchase itself.</p>",,1,1,1,balance-transfer-benefits,Benefits of Balance Transfer,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_goldrewards, product_platinumcashback"
"<h3>Balance Transfer on Easy Monthly Installments</h3>
<p>Balance Transfer on EMI is a unique feature that allows you to transfer the outstanding balance from your credit cards to your Pluto credit card and repay it in easy monthly installments at a lower interest rate.</p>
<p>This feature allows you to transfer other credit card outstanding dues for repayment at lower interest rates.</p>
<p>This saves on interest cost during the balance transfer period and flexible repayment options.</p>
<p>It is offered only to select credit card holders, who receive communication by way of Telephone, Email, SMS, etc.</p>","<h3>Balance Transfer on EMI Terms and Conditions</h3>
<ol>
<li>The Balance Transfer on EMI facility allows an Pluto Credit Cardholder (Cardholder) to avail of the Balance Transfer facility on his/her Pluto Credit Card (Card) and repay the same in Equated Monthly Instalments (EMIs).</li>
<li>The minimum amount that can be transferred from any other bank credit card account to the Cardholders Pluto Credit Card is 3,000</li>
<li>The Cardholders can choose from multiple tenure options from 3 month, 6 month, 9 month, 12 month, 18 month and 24 month</li>
<li>The maximum amount that can be transferred from other bank credit cards to the Cardholder's Pluto Credit Card is up to 90% of the credit limit on the Cardholder's Pluto Credit Card subject to available balance as on the date of approval of the Cardholder's application.If amount requested to be transferred from other bank credit cards to the Cardholder's Pluto Credit Card is greater than 90% of the available credit limit on the Cardholder's Pluto Credit, Balance transfer (Including Interest) will be processed for an amount that equals to 90% of the credit limit. In such scenarios, cashier orders are dispatched to Cardholders Registered mailing address as per record</li>
<li>During the Balance Transfer term, the balance transferred will also be included for computing the minimum payment due, as mentioned in the credit card statement from Pluto</li>
<li>Minimum Amount Due: The Balance Transfer EMI due for the month is included as part of the minimum amount due appearing in the Cardholders monthly statement. The minimum amount due appearing on the Cardholders monthly statement is calculated as a percentage of the total outstanding retail balance + monthly EMI due on Balance Transfer on EMI. Non-payment of the entire total payment due on the credit card by the payment due date will result in the levy of standard credit card interest rates on the balance outstanding. If only minimum amount due (as defined above) is paid, the standard credit card interest rates will be levied on the balance outstanding. However, if such partial payments do not cover the amount of EMI for the month, standard finance charges (including late payment fee) will be levied also</li>
<li>Please note that the payment made will be apportioned as per the payment hierarchy. In case the amount paid does not clear the EMI amount (partly or fully), the remaining EMI amount will be added in the next month's minimum amount due along with standard interest rate charged on the said amount</li>
<li>Kindly note that according to the new payment hierarchy effective from 5 August 2013, the payments will first be apportioned to the extent of minimum payment due, first by the following plans i.e. EMI, cash advances, purchase outstanding and Balance Transfer in descending order of interest rates, and within a given plan, the payment will be allocated in a predefined order of (1) Service charges, (2) Finance charges, (3) Late payment charges, (4) Annual fee and (5) Other fees</li>
</ol>",1,1,1,balance-transfer-emi,Introduction to Balance Transfer - Easy Monthly Installments (BT-EMI),"region_canada, region_northamerica, region_northamericapkg","product_creditbuilder, product_goldrewards, product_platinumcashback"
"<p><em><span style=""color: #ff0000;""><strong>After:</strong></span>&#160;Re-submitting the customer credit card application for credit check approval</em>:</p>
<p>Use the Credit Card Processing System to submit the credit card application for approval</p>
<p><img src=""mfxresource:library/CCAppPendingMaskedExClickSub.png"" alt=""CreditCardAppPending Masked Ex Click Submit Button""></p>","<p><em><span style=""color: #ff0000;""><strong>After:</strong></span>&#160;Re-submitting the customer credit card application for credit check approval</em>:</p>
<p>Use the Credit Card Processing System to submit the credit card application for approval</p>
<p><img src=""mfxresource:library/CCAppPendingMaskedExClickSub.png"" alt=""CreditCardAppPending Masked Ex Click Submit Button""></p>",1,1,1,CCAppSubmitforApproval,How to Submit a Credit Card Application for Approval,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_platinumcashback"
"<ol>
<li>Locate the customer's credit card application data in ""Approved"" status within the Credit Card Application system<br><img src=""mfxresource:library/CCAppApproved2MaskedEx.png"" alt=""CreditCardApplicationApproved2 Masked Ex""></li>
<li>Cancel the credit card<br><img src=""mfxresource:library/CCAppApproved2MaskedExCancel.png"" alt=""CreditCardAppApproved2 Masked Ex Cancel""></li>
</ol>","<ol>
<li>Locate the customer's credit card application data in ""Approved"" status within the Credit Card Application system<br><img src=""mfxresource:library/CCAppApproved2MaskedEx.png"" alt=""CreditCardApplicationApproved2 Masked Ex""></li>
<li>Cancel the credit card<br><img src=""mfxresource:library/CCAppApproved2MaskedExCancel.png"" alt=""CreditCardAppApproved2 Masked Ex Cancel""></li>
</ol>",1,1,1,CCAppCancelApprovedCCard,How to Cancel an Approved Credit Card,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_platinumcashback"
"<p>Type the customer's credit card application ID into the Credit Card Application system's&#160;""Application Number"" field and click ""Search""</p>
<p><img src=""mfxresource:library/CCAppQueryMaskedExSearch.png"" alt=""CreditCardAppQuery Masked Ex Search""></p>","<p>Type the customer's credit card application ID into the Credit Card Application system's&#160;""Application Number"" field and click ""Search""</p>
<p><img src=""mfxresource:library/CCAppQueryMaskedExSearch.png"" alt=""CreditCardAppQuery Masked Ex Search""></p>",1,1,1,CCAppQueryForCustData,How to Query the Credit Card Application System for Customer-Submitted Data,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_platinumcashback"
"<p>If a customer reports that they have not received a newly-issued credit card, a representative should cancel and reissue the card.</p>
<p>Procedure Overview</p>
<ol>
<li>Locate the customer's credit card application data in ""Approved"" status within the Credit Card Application system and cancel the credit card</li>
<li>Re-Query the customer's credit card application number within the Credit Card Application system</li>
<li><span style=""color: #ff0000;""><strong>Important:</strong></span>&#160;Re-submit the customer credit card application for credit check approval, using the Credit Card Processing System</li>
<li>Make any necessary address and contact information changes to the originally-supplied customer application data</li>
<li>Upon approval, submit the credit card application for approval</li>
</ol>
<p><em><strong>Note:&#160;</strong></em><em>This procedure only applies to verified customer accounts and should only be implemented, once minimum ""activation"" time has expired and the customer has verified that they did not recieve their new credit card.</em></p>","<p>If a customer reports that they have not received a newly-issued credit card, a representative should cancel and reissue the card.</p>
<p>Procedure Overview</p>
<ol>
<li>Locate the customer's credit card application data in ""Approved"" status within the Credit Card Application system and cancel the credit card</li>
<li>Re-Query the customer's credit card application number within the Credit Card Application system</li>
<li><span style=""color: #ff0000;""><strong>Important:</strong></span>&#160;Re-submit the customer credit card application for credit check approval, using the Credit Card Processing System</li>
<li>Make any necessary address and contact information changes to the originally-supplied customer application data</li>
<li>Upon approval, submit the credit card application for approval</li>
</ol>
<p><em><strong>Note:&#160;</strong></em><em>This procedure only applies to verified customer accounts and should only be implemented, once minimum ""activation"" time has expired and the customer has verified that they did not recieve their new credit card.</em></p>",1,1,1,CCAppCancelAndReissueOverview,How to Cancel and Reissue a Credit Card -- Overview,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_platinumcashback"
