answer,answerPrivate,nlpIndexAnswer,nlpIndexAnswerPrivate,nlpIndexQuestion,pubname,question,subcategory,taxonomy-2,taxonomy-1
"<p>First you'll need to register for or log in to my Pluto Bank card online account servicing by clicking here. Once you've logged in, select 'Pay your card bill'.</p>
<p>In order to make a payment you'll need to have your debit card details to hand. You'll be able save these after your first payment, so they'll be available next time.</p>
<p>When you pay by debit card, you may be directed to either the 'Verified by Visa' site or the 'MasterCard Secure' site to validate your payment securely. You'll need to enter your current Visa or MasterCard secure password if you've got one, or set up a new secure password. You'll also need to remember this password to make payments in the future.</p>
<p>Once this is complete, we'll process your payment straight away - so you'll need to have the funds in your account.</p>
<p>For security reasons, you won't be able to use more than two debit cards to make payments with. You'll also need to provide the debit card billing address if it differs to your Pluto Bank card billing address.</p>",,1,1,1,pay-direct-debit-Pluto-bank,How do I pay my bill with my debit card using my Pluto Bank card online account servicing?,,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom",product_retailbanking
"<p>When you make a payment online or over the phone you'll be advised straight away if your payment has been successful and we'll instantly provide you with a reference number/authorisation code.</p>
<p>If your payment is declined, we recommend you check the details you entered and try again. Also, check that your debit card has not expired or been replaced. If you are making a payment online and you have previously saved your card details, please check that your card has not expired or been replaced before you select it to make a payment. If it has expired, or been replaced, please delete the out of date card and select Use a different card. If the payment is still declined by your debit card issuer you will need to contact them for more information.</p>
<p>Please note that payments are authorised straight away with your debit card issuer. This means you need to have cleared funds in your bank account when you're making the payment online.</p>
<ul>
<li>If your payment is declined again we suggest you try an alternative payment method:</li>
<li>By debit card - within&#160;Pluto Bank online servicing or by contacting our&#160;<a title=""Customer Services Team"" href=""http://www.mywebsite.com"">Customer Services Team</a>.<br>By Direct Debit - pay any amount up to your full balance (subject to minimum payment requirements). You can set one up if your card is eligible within&#160;Pluto&#160;online servicing or by calling our&#160;<a title=""Customer Services Team"" href=""http://www.mywebsite.com"">Customer Services Team</a>.</li>
<li>From an Pluto account - pay using&#160;Pluto telephone or online banking services (you'll need to be registered for these).</li>
<li>From a non-Pluto account - pay using your own bank's telephone or online banking services.</li>
</ul>
<p>Our bank details (for phone or online banking payments):</p>
<ul>
<li>Sort code: 76-04-55</li>
<li>Account number: 38290008</li>
</ul>
<p>Please make sure you use your card number as the payment reference.</p>
<p>Note that if you do not make a successful payment before your payment due date you will be charged a fee.</p>","<p><span style=""font-family: OpenSans, Arial, sans-serif;"">Also create an IT Support ticket for the Online Payment issue.</span></p>
<p>&#160;</p>",1,1,1,unable-pay-online,"My Bill is due and I can't pay online, what can I do?",,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_goldrewards, product_platinumcashback, product_retailbanking"
"<p>Pluto Online Banking provides a secure way to access your accounts, manage payments, check your statements and much more.</p>
<h3>What You Can Do Online:</h3>
<ul>
<li>Transfer money and pay bills</li>
<li>Manage Direct Debits and standing orders</li>
<li>Check and download your statements</li>
<li>Make daily <a href=""http://www.mywebsite.com/"">international payments</a></li>
<li>Receive your forgotten debit card PIN</li>
<li>Use tools to stay on top of your finances and plan savings goals</li>
</ul>
<h3>Register Today</h3>
<p>It is important that you register for an Online Account so that you can Apply for Services Online as well as Track Your Credit Card and Bank Balances.</p>
<p>To Register for an Account , please visit the <a href=""http://www.mywebsite.com/"">Registration Page</a>&#160;now.</p>
<p>Before you register, you will need:</p>
<ul>
<li>The email address associated with your account.</li>
<li>The password you chose when you set up your account.</li>
</ul>",,1,1,1,online-features,What can I do with my online account?,,,"product_creditbuilder, product_goldrewards, product_platinumcashback, product_retailbanking, product_fixedrate2year, product_fixedrate5year, product_personalloans98k, product_isa"
"<p>Your contact details are your address, phone number, email and marketing preferences. How you change them depends on the type of product you have, and whether you have access to the Internet Bank. If you dont have online banking, you can download our change of address form and post it to us, or drop it into your <a title=""Local branch"" href=""https://mywebsite.com"">local branch</a>. Or you can call Customer Services on <strong>+1-503-549-5102</strong>&#160;and speak to an adviser.</p>
<h3>Changing Your Details via Online Banking</h3>
<p>To change your address:</p>
<ul>
<li>Simply log in to your web self-service account. You can log in here: <a title=""Pluto Banking log in"" href=""https://plutobanking.mywebsite.com/login?ReturnUrl=%2F"">Log In</a>.</li>
<li>Click on your avatar (photo) at the top right of the page.</li>
<li>Select 'Profile.'</li>
<li>On the 'Contact' tab, update your details.</li>
<li>Make sure to click 'Save Profile' when you have finished making your updates.</li>
</ul>","<p>The customers can now start the process for changing their address through web self-service. Alternatively, you can change the address of a customer&#160;yourself in the CRM system.</p>",1,1,1,change-address,How do I change my address?,change-details,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_goldrewards, product_platinumcashback"
"<p>Yes, Direct Debits can be cancelled any time online,&#160;<a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">over the phone</a>&#160;or&#160;in <a title=""www.mywebsite.com"" href=""http://www.mywebsite.com/"">branch</a>&#160;but it's always a good idea to notify us before you do this.</p>
<h3>Before you cancel</h3>
<p>Consider if you really need to cancel. If you're unsure if you can pay or you're having difficulty paying you&#160;can contact us for information or help.</p>
<p>If you cancel your Direct Debit with Pluto Bank, no further payments will be made to us and although it can be re-instated on your account within 2 months of cancellation,&#160;you will need to keep up with your credit card balance using other payment means.&#160;</p>
<h3>You may also need to consider</h3>
<p><strong>Our cancellation deadline</strong>&#160;- Cancellation requests must be received by 4pm, the day before the payment is due (Monday-Saturday). For example:&#160;A Direct Debit due on Monday needs to be cancelled by 4pm on Saturday.</p>
<p><strong>Credit Cards&#160;that are being switched</strong>&#160;- If you're in the process of changing credit card provider&#160;to another bank or building society, there's no need to cancel. We'll stop all direct debits when you close your credit card account.&#160;</p>",,1,1,1,cancel-direct-debit,Can I cancel a direct debit?,,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_goldrewards, product_platinumcashback, product_retailbanking, product_fixedrate2year, product_fixedrate5year, product_personalloans98k, product_isa"
"<p>When you set up a Direct Debit, you are making an agreement between you and a company you want to pay on a regular basis. The agreement you make authorises the company to collect varying amounts from your account on a regular basis. Because youre covered by the Direct Debit guarantee, the company should always tell you what these amounts are - and when they'll be collected. For more information read our&#160;<a title=""Nationwide"" href=""http://www.nationwide.co.uk/guides/understanding-the-basics/understanding-payments-and-transfers"">Guide to payments and transfers.</a></p>
<p><strong>What is it used for?</strong> Typically its used to pay credit cards, utility bills and subscriptions.</p>
<p><iframe src=""//www.youtube.com/embed/jGMyO-_k3AM"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></p>","<p><a title=""Direct Debit Form"" href=""mfxresource:library/directDebit_form.pdf"">Direct Debit mandate form</a></p>",1,1,1,what-is-direct-debit,What is a direct debit?,,region_unitedkingdom,"product_creditbuilder, product_goldrewards, product_platinumcashback, product_retailbanking, product_fixedrate2year, product_fixedrate5year, product_personalloans98k, product_isa"
"<p>If you have forgotten your password for logging into your account, you can Reset it&#160;online.&#160;You will require the email address associated to your account, as instructions for completing the password reset can only be sent to the email address we have on file.</p>
<ul>
<li>Click on the<a href=""http://mywebsite.com""> 'Sign In' </a>or <a href=""http://mywebsite.com"">'My Account'</a> link at the top of the page.</li>
<li>Click on the 'Forgotten your password' link under 'Returning customers'.</li>
<li>Enter your Username (registered email address) and click on the 'Send me my password' button.</li>
<li>Confirmation message will be displayed that a new password has been sent to your email address. Click 'Contunue' button.</li>
<li>The Change password page will be displayed - For 'Current password' enter the password sent to you by email, then enter</li>
</ul>",,1,1,1,reset-password,How do I reset my Password?,online-login,"region_canada, region_france, region_mexico, region_thenetherlands, region_northamerica, region_northamericapkg, region_spain, region_unitedkingdom","product_creditbuilder, product_goldrewards, product_platinumcashback, product_retailbanking, product_fixedrate2year, product_fixedrate5year, product_personalloans98k, product_isa"
"<p>Yes, we do.&#160;Due to the volume of mail that&#160;Pluto receives, mail is available to us seven days a week and on holidays&#160;at the London and Charlotte NC postal centres.</p>
<p>Pluto Bank contracts with outside courier companies to pick up mail multiple times per day.&#160;Our Processing Center is open every day except Christmas Day and New Year's Day.</p>",,1,1,1,receive-mail-days,Do we receive mail seven days a week?,,"region_france, region_northamerica, region_spain, region_unitedkingdom",
"<p>Does Pluto Bank notarize?&nbsp;Yes.&nbsp;</p>
<p>Pluto Bank notary services are only available at select locations, only to customers, and only to those with an appointment. Though it is convenient for many and free of charge. Keep reading to learn more about the Pluto Bank notary service, as well as other banks you can go to if you need something notarized (some dont require an appointment).&nbsp;</p>
<h3>Pluto Bank Notary Services FAQ: Fee, Etc</h3>
<p>Pluto Bank notary services are available by appointment only at select Pluto Bank locations. Notary services are generally available during regular bank hours, which are Monday Thursday, 9AM 5PM and Friday, 9AM 6PM. Youll need at least one, valid, government-issued photo ID to get a document notarized.</p>
<ul>
<li>Fee for customers: Free</li>
<li>Fee for non-customers: N/A. Pluto Bank does not provide notary services to non-customers.</li>
<li>Need an appointment? Yes</li>
<li>Source: Customer service</li>
<li>Call your nearest Pluto Bank to inquire<br>&nbsp;</li>
</ul>
<p>Pluto Bank notarizes:</p>
<ul>
<li>Forms and documents required to close loans (mortgage loans, home equity lines of credit, construction to permanent loans, auto loans, business loans, etc.)</li>
<li>Forms necessary for investment and wealth management services.</li>
</ul>
<p><br>Pluto Bank does not notarize:</p>
<ul>
<li>Documents with blank spaces someone can later use to commit fraud.&nbsp;</li>
<li>Government documents with errors</li>
<li>Government forms with pre-printed wording that does not comply with notary law guidelines.<br>&nbsp;</li>
</ul>
<h3>In Summary</h3>
<p>Pluto Bank provides notary public services to customers only, free of charge. Since notaries are not available in every location, you need to call your nearest branch to inquire whether they have a notary on site. If you dont have an account at Pluto Bank, dont worry. There are plenty of other banks that offer notary services some even to non-account holders!</p>","<p>Does Pluto Bank notarize?&nbsp;Yes.&nbsp;</p>
<p>Pluto Bank notary services are only available at select locations, only to customers, and only to those with an appointment. Though it is convenient for many and free of charge. Keep reading to learn more about the Pluto Bank notary service, as well as other banks you can go to if you need something notarized (some dont require an appointment).&nbsp;</p>
<h3>Pluto Bank Notary Services FAQ: Fee, Etc</h3>
<p>Pluto Bank notary services are available by appointment only at select Pluto Bank locations. Notary services are generally available during regular bank hours, which are Monday Thursday, 9AM 5PM and Friday, 9AM 6PM. Youll need at least one, valid, government-issued photo ID to get a document notarized.</p>
<ul>
<li>Fee for customers: Free</li>
<li>Fee for non-customers: N/A. Pluto Bank does not provide notary services to non-customers.</li>
<li>Need an appointment? Yes</li>
<li>Source: Customer service</li>
<li>Call your nearest Pluto Bank to inquire<br>&nbsp;</li>
</ul>
<p>Pluto Bank notarizes:</p>
<ul>
<li>Forms and documents required to close loans (mortgage loans, home equity lines of credit, construction to permanent loans, auto loans, business loans, etc.)</li>
<li>Forms necessary for investment and wealth management services.</li>
</ul>
<p><br>Pluto Bank does not notarize:</p>
<ul>
<li>Documents with blank spaces someone can later use to commit fraud.&nbsp;</li>
<li>Government documents with errors</li>
<li>Government forms with pre-printed wording that does not comply with notary law guidelines.<br>&nbsp;</li>
</ul>
<h3>In Summary</h3>
<p>Pluto Bank provides notary public services to customers only, free of charge. Since notaries are not available in every location, you need to call your nearest branch to inquire whether they have a notary on site. If you dont have an account at Pluto Bank, dont worry. There are plenty of other banks that offer notary services some even to non-account holders!</p>",1,1,1,notarization-available,Is Notarization available?,,region_northamerica,product_retailbanking
"<p>Occasionally credit card deliveries may be delayed due to circumstances beyond Pluto Bank's control If your Credit Card has not been delivered with&nbsp;5 business days, please contact customer service at this location.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","<p>If a customer's credit card has not been delivered in over 7 businessness days, please cancel the card and reissue.</p>
<p><a title=""How To: Order a replacement Debit or Credit Card"" href=""mfxanswer:account-management/order-replacement-card-dt"">Process for Replacing a Credit Card</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>",1,1,1,Delayed_Credit_Card_Delivery,Credit Card Delivery is Delayed,,region_africa,
